Id;Questions;Réponse 1;Réponse 2;Réponse 3;Bonne réponse
0;Quel est le personnage de fiction a la replique sanglante : je suis ton père;Dark Vador;Luke S.;Yoda;1
1;"Qui est celui dont on ne doit pas prononcer le nom?""";Harry P.;Voldemort;Rogue;2
2;Qui a ecrit : les Misérables ?;Victor Hugo;Charles Baudelaire;Chateaubriand;1
3;Quel est le plus petit pays du monde ?;Rwanda;Chypre;Le Vatican;3
4;"Qui a realisé le film ""Avatar"" ?";Steven Spielberg;Sofia Coppola;James Cameron;3
5;"Qui a composé la sonate ""La Lettre à Elise"" ?";Mozart;Beethovven;Wagner;2
6;Qui joue Jack dans Titanic ?;Léonardo Di Caprio;Matt Damon;Brad Pitt;1
7;Quel film français a été réinterprété aux USA ?;Mobius;Intouchables;LOL;3
8;Quel acteur français a eu un oscar pour son rôle dans The Artist ?;Philippe Lelouche;Jean Dujardin;Guillaume;2
9;Quel est le livre le plus vendu au monde?;harry potter;la Bible;Le petit prince;2
10;Quelle est la chanson la plus reprise au monde?;comme d'habitude;la vie en rose;allumez le feu;1
11;Qui a peint la Joconde ?;Picasso;Michelange;De Vinci;3
12;Combien y a t'il d'habitants en Polynésie au dernier recensement ?;158 230;210 369;275 918;3
13;Combien y a t'il de communes en Polynésie ?;63;48;87;2
14;A quelle commune de l'île de Tahiti l'atoll de Tetiaora est-il rattaché ?;Papeete;Mahina;Arue;3
15;La superficie de l'espace maritime de la Polynésie est équivalente à :;la Chine;l'Europe;l'Australie;2
16;Lequel de ces pays ne fait pas partie de l'Union Européenne;Suède;Norvège;Finlande;2
17;Quand Gollum parle de son 'precieux', il parle :;d'un anneau;d'un diamant;d'un coffre;1
18;Que peut on mesurer avec un rapporteur ?;un angle;une vitesse;une pression;1
19;Laquelle de ces substances est hydrophobe ?;Sucre;Graisse;ADN;2
20;Où vit le Dingo ?;Australie;Afrique du sud;Am‚rique du nord;1
21;Où peut on trouver la ceinture de Van Allen ?;Océan Pacifique;Himalaya;Espace;3
22;Qui a écrit le roman 'Le Grand Meaulnes' ?;Céline;Prévert;Alain-Fournier;3
23;Qu'est ce que l'onychocryptose;Un ongle incarné;Une verrue;Une cicatrice;1
24;Quel président américain n'a pas été assassiné;Abraham Lincoln;James A. Garfield;Herbert Hoover;3
25;Qui est le fondateur d'Amazon ?;Jeff Bezos;Elon Musk;Mark Zuckerberg;1
26;La spéléologie est l'étude des :;Ongulés;Grottes;Roches;2
27;Quelle est la somme des angles dans un carré ?;90;180;360;3
28;Quelle province du Canada est située sur la côte ouest de l'Amérique du nord ?;Nouvelle - Ecosse;Québec;Colombie britannique;3
29;Quel pays produit le plus de charbon;Inde;Etats unis;Chine;3
30;Quelles nations ont combattu à la bataille d'Azincourt en 1415 ?;France et Italie;Angleterre et France;Belgique et Allemagne;2
31;Quelle île se trouve à l'embouchure de l'Amazone ?;Marajo;Mindoro;Riesco;1
32;La lumière est dispersée par le prisme triangulaire à cause de :;l'effet Doppler;la réfraction;l'extinction des ondes;2
33;Quel fleuve coule dans la péninsule Ibérique;Maritsa;Adige;Ebre;3
34;Quel pays a voté la sortie de l'union européenne;L'Autriche;Le Royaume Uni;La Norvège;2
35;Pourquoi les ours polaires se couchent-ils dans la neige lorsqu'ils courent ?;Se rafraîchir;Se reposer;Dormir;1
36;Quelle partie du corps permet aux hippocampes de nager ?;Nageoire dorsale;Nageoire ventrale;Tête;1
37;Pour quelle raison ne pouvons-nous pas entendre les cris de la chauve-souris ?;Trop aigu;Trop faible;Trop grave;1
38;À quoi servait la coquille du tridacne géant dans de nombreuses églises ?;Bénitier;Chandelier;Tronc;1
39;Quelle lourde et pénible tâche incombe à la reine des fourmis ?;Chercher à manger;Défendre le nid;Pondre des oeufs;3
40;Qu'est-ce que les coccinelles aiment tout particulièrement manger ?;Éxcréments;Pétales;Pucerons;3
41;Pour quelle raison les nécrophores se battent-ils entre eux ?;Un territoire;Des femelles;Des cadavres;3
42;De quel type d'environnement un acarien a-t-il besoin pour vivre ?;Gras;Sec;Humide;3
43;Quelle partie du corps de la limace lui permet-elle de découper les plantes ?;Palais;Dents;Langue;3
44;Quelle partie du corps montre le loup le plus faible après une lutte pour la hiérarchie ?;Ses dents;Sa langue;Son ventre;3
45;Quelle est la cause de mortalité la plus fréquente chez les éléphants en liberté ?;Maladie;Trompe cassée;Usure des dents;3
46;Grâce à quelle partie de son corps la taupe s'oriente-t-elle sous terre ?;Museau;Yeux;Vibrisses;3
47;À part le cheval, à quel autre animal le tapir est-il apparenté ?;Cochon;Éléphant;Rhinocéros;3
48;Comment les mille-pattes se protègent-ils de leurs prédateurs ?;En criant;Par leurs sécrétions;Par camouflage;2
49;Quels animaux volent souvent aux hyènes la proie qu'elles ont chassée ?;Gnous;Lions;Guépards;2
50;Combien pèse environ la plus petite espèce de musaraigne connue ?;20 grammes;2 grammes;70 grammes;2
51;De quelle manière le lynx a-t-il l'habitude de marquer son territoire ?;Excréments;Éraflures;Poils;2
52;Taillé pour la course, jusqu'à quelle vitesse un guépard peut-il courir ?;90 km/h;120 km/h;60 km/h;2
53;Comment les cloportes se protègent-ils des attaques ?;En s'enfuyant;En s'enroulant;En s'enterrant;2
54;Quel animal est le plus grand ennemi connu de la buse variable ?;Renard;Homme;Aigle;2
55;Après combien de temps un bébé tigre reçoit-il de la viande pour la première fois ?;Un mois;Six mois;Un an;2
56;Combien de litres de lait une vache performante produit-elle chaque jour ?;25 l;35 l;15 l;2
57;De quelle fonction vitale le fennec peut-il étonnamment se passer ?;Manger;Boire;Dormir;2
58;Quel est le plus grand des aras parmi les perroquets connus à ce jour ?;Macao;Hyacinthe;Ararauna;2
